"record_id","issued_date","expire_date","days_til_expiration","address","address_id","parcel_id","geom"
"PMB2007-00964","30/9/2019","30/9/2022","11","8801 DAWES","199554","18018009-10","0101000020E6100000056F8DBC37CA54C0C59E35C4FB2D4540"
"PMB2008-04075","2/10/2019","2/10/2022","13","20638 SANTA CLARA","98540","22014423.","0101000020E6100000CCB57E25BBCF54C08BD21044A9354540"
"PMB2005-19725","4/10/2019","4/10/2022","15","4440 ST. ANTOINE #1","263520","03003240-50","0101000020E61000008293F4D073C354C0E1B6C234952D4540"
"PMB2004-05348","15/10/2019","15/10/2022","26","12446 MENDOTA","210847","16042737.","0101000020E61000004BDCE8927DCA54C0F80C9A6699304540"
"PMB2009-05839","17/10/2019","17/10/2022","28","41 BURROUGHS","335670","02001068.","0101000020E6100000EC82465989C454C0057BD117BD2E4540"
"PMB2004-11156","25/10/2019","25/10/2022","36","600 BRAINARD","543294","04003296-0","0101000020E6100000CED6D97619C454C0EBD9D37D512C4540"
"PMB2004-04987","29/10/2019","29/10/2022","40","18850 WOODWARD","60341","01009792-3","0101000020E6100000A79DD14242C754C01DD70A2315374540"
"PMB2004-10240","29/10/2019","29/10/2022","40","11500 SHOEMAKER","294779","21003202-3","0101000020E61000004B2B6093F2BE54C08BCEB94418324540"
"PMB2004-13419","31/10/2019","31/10/2022","42","9281 BROADSTREET","71994","14012317.","0101000020E61000006991F5431EC854C049423E9D1B2F4540"
"PMB2004-03502","1/11/2019","1/11/2022","43","9560 NORTHLAWN","205917","18014678-96","0101000020E6100000391E46D8C1C954C057441914032F4540"
"PMB2004-03507","1/11/2019","1/11/2022","43","9658 NORTHLAWN",,,
"PMB2004-03503","1/11/2019","1/11/2022","43","9606 NORTHLAWN","206854","18014678-96","0101000020E610000073B84E52C2C954C03774FB4D182F4540"
"PMB2004-03506","1/11/2019","1/11/2022","43","9595 NORTHLAWN","206738","18014725-45","0101000020E61000004FA6D8B6CCC954C053ED22D3132F4540"
"PMB2004-03509","1/11/2019","1/11/2022","43","9676 NORTHLAWN","208431","18014678-96","0101000020E6100000EF30821FC1C954C0B92E12A9312F4540"
"PMB2004-03501","1/11/2019","1/11/2022","43","9695 NORTHLAWN","208578","18014725-45","0101000020E61000009F2310A1CDC954C026E5BB8F392F4540"
"PMB2007-02498","1/11/2019","1/11/2022","43","50 WESTMINSTER","345661","01003134.001","0101000020E610000041F6A2FF43C554C05AB9AC0D56314540"
"PMB2004-03511","1/11/2019","1/11/2022","43","9696 NORTHLAWN","208641","18014678-96","0101000020E6100000B1649629C3C954C08CC268413C2F4540"
"PMB2004-03500","1/11/2019","1/11/2022","43","9675 NORTHLAWN","208409","18014725-45","0101000020E61000006FC8E6D4CEC954C012FA85E72E2F4540"
