"record_id","street_num","street_dir","street_name","street_type","description","status","date_status","parcel_id","geom"
"BLD2012-04594","8469","E","JEFFERSON","","CHANGE OF USE TO ADD MUSIC SCHOOL TO EXISTING RESIDENTIAL & ASSOCIATED REPAIRS AS PER PLAN.","CofO Issued","3/12/2019 00:00:00","17000066.","0101000020E61000006B764A1562BF54C048ABD9A96A2D4540"
"BLD2013-00636","15222","","TIREMAN","","ESTABLISH A LITHOGRAPHY SIGN SHOP AS PER LOT PLOT IN A B4 ZONE PER BZA GRANT # 21-10 AS RECORDED IN THE WAYNE COUNTY RECORD.","CofO Issued","14/1/2019 00:00:00","22001862.","0101000020E6100000DBD0BA126BCC54C001AA03DAF22C4540"
"BLD2014-00051","14610","","JOY ROAD","","ADD USED MOTOR VEHICLE SALES TO AN EXISTING MINOR MOTOR VEHICLE REPAIR FACILITY AS PER LOT PLAT IN B4 ZONE PER BZA 55-13 AS RECORDED IN THE WCR.","CofO Issued","29/4/2021 00:00:00","22003132-6","0101000020E6100000BACC3C7A02CC54C04BF84951E92D4540"
"BLD2014-03757","8725","","LIVERNOIS","","","CofO Issued","2/10/2019 00:00:00","16018256-60","0101000020E610000095451B31E1C854C0705E45D0F62D4540"
"BLD2015-00621","1201","","WOODWARD","","PERAMNENT CERTIFICATE OF OCCUPANCY  ISSUED FLOORS 7-9","CofO Issued","5/3/2019 00:00:00","02001886.","0101000020E61000009DC29EAC16C354C0A9DD1ACB9D2A4540"
"BLD2015-00799","17300","","SCHAEFER","","PRMT C OF O ISSUED 02-27-2019","CofO Issued","27/2/2019 00:00:00","22030080-4","0101000020E6100000A2A3FD467FCB54C072A485EE95354540"
"BLD2015-00943","6511","","EPWORTH","","","CofO Issued","22/8/2019 00:00:00","16014954.","0101000020E6100000614004F641C854C06A031061D52C4540"
"BLD2015-01214","5536","","MICHIGAN","","","CofO Issued","8/1/2020 00:00:00","16001721-4","0101000020E6100000BF5F6A6623C754C058AE6C0C6D2A4540"
"BLD2015-03027","7866","","CONANT","","PER BZA GRANT 48-14, CHANGE LEGAL LAND USE FROM ""OFFICE, BUSINESS"" TO ""USED MOTOR VEHICLE SALES & MINOR MOTOR VEHICLE SERVICE"".","CofO Issued","28/3/2019 00:00:00","13024858-62","0101000020E61000000B79F5779EC254C0514386A2A2314540"
"BLD2015-04213","205","","ALFRED","","INTERIOR BUILD-OUT OF PREVIOUSLY ISSUED WHITE BOX PHASE (BLD2015-04210 TO CHANGE OCCUPANCY FROM 12 APTS TO TWO-FAMILY DWELLING, CONDOMINIUMS) AS PER SCOPE OF WORK AND PLANS IN CONJUNCTION WITH HDC CERT. #15-123.","CofO Issued","18/7/2019 00:00:00","01000670-1","0101000020E610000044642E605CC354C0DFDE8046072C4540"
"BLD2015-05445","3901","","BEAUBIEN","","REVISION 2 BLD15-03418 TO REFLECT INSTALLATION OF AN UNDERGROUND FIRE WATER STORAGE TANK & CHANGES TO MEP & FIRE SUPPRESS SYSTEMS IN THE PHASE II B/O PACKAGE OF A NEW CRITICAL CARE TOWER OF EXIST'G HOSPITAL.","CofO Issued","17/6/2019 00:00:00","01003850-67","0101000020E61000005E2AA93983C354C03DC9EBB8102D4540"
