"record_id","street_num","street_dir","street_name","street_type","record_type","task","status","record_status_date","parcel_id","geom"
"","","","","",,"","",,,
"ANN2003-00002","14200","E","JEFFERSON","Ave","Commercial Inspection","Issue CofC","Issued","28/7/2022 00:00:00","21000354-5","0101000020E610000018F85C008EBC54C0D7CDBB5F962F4540"
"ANN2003-00017","16650","","PLYMOUTH","","Commercial Inspection","Issue CofC","Issued","23/8/2021 00:00:00","22005838-44","0101000020E61000009BA42F4876CD54C0DB00D807B42F4540"
"ANN2003-00028","15900","W","GRAND RIVER","","Commercial Inspection","Issue CofC","Issued","26/5/2021 00:00:00","22008257.","0101000020E61000002F6C594EFBCC54C01C1BEBC98C324540"
"ANN2003-00030","13327","W","SEVEN MILE","","Commercial Inspection","Issue CofC","Issued","16/11/2020 00:00:00","22015951-2","0101000020E610000011F00B1B5DCB54C0AC56861528374540"
"ANN2003-00047","3400",,"BAGLEY",,"Commercial Inspection","Issue CofC","Issued","7/7/2022 00:00:00","12000251-2","0101000020E61000005E58061872C554C048DB455266294540"
"ANN2003-00055","24201","W","SEVEN MILE","","Commercial Inspection","Issue CofC","Issued","30/8/2021 00:00:00","22016702-7","0101000020E6100000089C43F9D9D154C00B2BAC72DE364540"
"ANN2003-00070","7420","W","SEVEN MILE","","Commercial Inspection","Issue CofC","Issued","26/11/2019 00:00:00","16008820-1","0101000020E6100000CB5092425BC954C050562FEC43374540"
"ANN2003-00089","22476","W","GRAND RIVER",,"Commercial Inspection","Issue CofC","Issued","16/6/2022 00:00:00","22007801-2","0101000020E6100000AE08BB2BDDD054C0AD0E0238AA354540"
"ANN2003-00099","4105","E","MCNICHOLS",,"Commercial Inspection","Issue CofC","Issued","6/7/2022 00:00:00","13007210-6","0101000020E610000000F8FB4FF8C354C06E23707FA1354540"
"ANN2003-00102","13300","W","MCNICHOLS","","Commercial Inspection","Issue CofC","Issued","13/4/2021 00:00:00","22014122.","0101000020E61000008A6A1CC54ACB54C0EC96144B5C354540"
"ANN2003-00104","23350","W","GRAND RIVER",,"Commercial Inspection","Issue CofC","Issued","19/7/2022 00:00:00","22007788-9","0101000020E61000006817C22C3CD154C05B62E49BFA354540"
"ANN2003-00106","14321","W","MCNICHOLS","","Commercial Inspection","Issue CofC","Issued","14/9/2021 00:00:00","22012846-7","0101000020E6100000735BEE50F3CB54C0C28BAC1548354540"
