"business_name","business_street_address","business_city","business_state","business_zip_code","detroit_based_business","detroit_headquartered_business","detroit_small_business","detroit_start_up","detroit_resident_based_business","detroit_based_micro_business","woman_owned_business_enterprise","minority_owned_business_enterprise","industry_type","business_category_1","business_category_2","nigp_code","authorized_contact_first_name","authorized_contact_last_name","business_phone_number","business_website","certifications","lon","lat"
"3LK Construction, LLC","1401 Howard Street","Detroit","MI","48216","true","true","true","false","false","false","false","true","General Contractor",,,"236210 236220 238310 238320","Paul",,"3139628700.0","www.3lkconstruction.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business; Minority Owned Business Enterprise",,
"Adamo Demolition Co. dba Adamo Group, Inc.","320 E Seven Mile Road","Detroit","Michigan","48203","true","true","false","false","false","false","false","false","Demolition",,,,"Richard",,"313-892-7330","www.adamogroup.com","Detroit Based Business; Detroit Headquartered Business",,
"Advance Plumbing & Heating Supply Company","150 Parsons Street","Detroit","Michigan","48201","true","true","false","false","false","false","false","false","Plumbing, Retail",,,,"Samuel",,"(313) 831-7770","www.advanceplumbing.com","Detroit Based Business; Detroit Headquartered Business",,
"Advanced Building Group, LLC","20260 Sherwood St","Detroit","Michigan","48234","true","true","true","false","false","false","false","false","General Contractor",,,"155 907 910 912 913 914","Scott",,"3139746153.0","www.advancedbg.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business",,
"Alan C. Young & Associates, P.C.","7310 Woodward Suite 740","DETROIT","MICHIGAN","48202","true","true","true","false","false","false","false","true","Professional Service",,,"961, 918, 946, 952, 985, 920, 209","ALAN",,"313-873-7500","WWW.ALANCYOUNG.COM","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business; Minority Owned Business Enterprise",,
"Allen Law Group, PC (The)","3011 W Grand Boulevard, Suite 2500","Detroit","Michigan","48202","true","true","true","false","false","false","false","true","Legal",,,,"Nick",,"(313) 871-5500","http://www.alglawpc.com/","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business; Minority Owned Business Enterprise",,
"Alliance Health and Life Insurance Company","2850 W. Grand Blvd.","Detroit","Michigan","48202","true","false","false","false","false","false","false","false","Insurance",,,"N/A","Catherine",,"3134025352.0","www.hap.org","Detroit Based Business",,
"Allied Building Service Company of Detroit Inc dba Allied Eagle Supply Company","1801 Howard St.","Detroit","MI","48216","true","true","false","false","false","false","true","false","Other","Janitorial, Commercial Cleaning, Electrical, Carpentry, Plumbing, HVAC, Janitorial Supplies, Janitorial Rentals",,"485-615-640-620-645-909-910-912","Adam",,"3132300800.0","www.teamallied.com","Detroit Based Business; Detroit Headquartered Business; Woman Owned Business Enterprise",,
"Best Network Design, LLC","18249 Wyoming Street","Detroit","MICHIGAN","48221","true","true","false","false","false","false","false","true","Electrical, General Construction, Specialty Construction, Technology",,,,"Eze",,"3136517932.0","Best Network Design, LLC","Detroit Based Business; Detroit Headquartered Business; Minority Owned Business Enterprise",,
"Boomer Co   DBA: Boomer Construction Materials","1940 East Forest Ave","Detroit","MI","48207","true","true","false","false","false","false","false","false","Building Supplies/Equipment",,,,"John",,"313-832-5050",,"Detroit Based Business; Detroit Headquartered Business",,
"Brooks Lumber Company","2200 Trumbull Avenue","Detroit","MI","48216","true","false","false","false","false","false","false","false","Retail",,,,"Joyce",,"3139626448.0",,"Detroit Based Business",,
"Cadence Corps Enterprise LLC","2801 Clark St, Office D","Detroit","MICHIGAN","48210","true","false","false","false","false","true","false","true","Professional Service",,,"915918958961.0","Shaun",,"3135307860.0","www.cadencellcus.com","Detroit Based Business; Detroit Based Micro Business; Minority Owned Business Enterprise",,
"Colasanti Construction Services, Inc.","407 E. Fort Street, Suite 104","Detroit","Michigan","48226","true","false","false","false","false","false","false","false","General Construction, General Contractor, Real Estate",,,"909910912913914.0","Donald",,"5865989700.0","www.colasantigroup.com","Detroit Based Business",,
"Contract Glaziers, Inc.","2600-400 Renaissance Center","Detroit","Michigan","48243","true","false","false","false","false","false","false","false","Specialty Construction",,,,"Amber",,"18885360677.0","www.contractglaziers.com","Detroit Based Business",,
"Corby Energy Services, Inc.","2021 S Schaefer Hwy","Detroit","MI","48217","true","false","false","false","false","false","true","false","Electrical",,,,"Jason",,"734-547-9237","corbyenergy.com","Detroit Based Business; Woman Owned Business Enterprise",,
"DeMaria Building Company, Inc.","3031 W. Grand Blvd, Suite 540","Detroit","MI","48202","true","false","false","false","false","false","false","false","General Contractor",,,"909/912","Joseph",,"313-870-2800","www.demariabuild.com","Detroit Based Business",,
"Detroit Dismantling Co.","13840 Intervale St.","Detroit","Michigan","48227","true","true","false","false","false","false","true","false","Demolition, Specialty Construction",,,"912913914.0","Jeff",,"313-836-3366","www.detroitdismantling.com","Detroit Based Business; Detroit Headquartered Business; Woman Owned Business Enterprise",,
"Detroit Power Systems","622 W. Baltimore","Detroit","MI","48202","true","true","true","false","false","false","false","true","Electrical",,,"23820  914-38-00  910-82-50","Warren",,"313 871-8000","www.detroitpowersystems.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business; Minority Owned Business Enterprise",,
"DLZ Michigan, Inc.","607 Shelby Street, Suite 650","Detroit","Michigan","48226","true","false","false","false","false","false","false","true","Architectural, Engineering",,,,"Manoj",,"3139614040.0","www.dlz.com","Detroit Based Business; Minority Owned Business Enterprise",,
"DMC Consultants, Inc. dba DMC Construction, Inc.","13500 Foley St","Detroit","Michigan","48227","true","true","true","false","true","false","false","true","Abatement, Asbestos Removal, Demolition, General Construction, General Contractor, Landscaping, Remodeling/Renovation",,,"91200.0","Mike",,"3134911815.0","www.dmcgroupusa.com","Detroit Based Business; Detroit Headquartered Business; Detroit Resident Based Business; Detroit Small Business; Minority Owned Business Enterprise",,
"Dykema Gossett, PLLC","400 Renaissance Center","Detroit","MI","48243","true","false","false","false","false","false","false","false","Legal, Professional Service",,,,"Karen",,"313-568-6640","www.dykema.com","Detroit Based Business",,
"Eagle Excavation, Inc.","4219 Third St","Detroit","MI","48201","true","false","false","false","false","false","false","false","Specialty Construction",,,,"Tyler",,"8107677878.0","www.eagleexcavation.com","Detroit Based Business",,
"Energy Sciences Resource Partners, LLC","3500 W. Eleven Mile Rd., Ste B","Berkley","MI","48072","false","false","false","false","false","false","true","false","Consulting, Engineering, Professional Service",,,,"Anne",,"248-792-9287","energysciencesllc.com","Woman Owned Business Enterprise",,
"eTitle Agency, Inc.","8335 East Jefferson Avenue","Detroit","MI","48214","true","false","false","false","false","false","true","false","Professional Service, Real Estate",,,"94646, 95387, 96102, 96866, 99884, 95877","Pamela",,"248-502-3100","https://etitleagency.com/","Detroit Based Business; Woman Owned Business Enterprise",,
"Fairgood Trucking Services, Inc","9216 Littlefield St","Detroit","Michigan","48228","true","true","false","false","false","true","true","true","Asphalt & Concrete, Demolition",,,,"LaQuita",,"313-290-8846",,"Detroit Based Business; Detroit Based Micro Business; Detroit Headquartered Business; Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"Fishbeck","1001 Woodward Ave., Suite 860","Detroit","Michigan","48226","true","false","false","false","false","false","false","false","Architectural, Consulting, Engineering, General Construction",,,,"Leonard",,"313.293.3550","https://fishbeck.com/","Detroit Based Business",,
"Goch & Sons Towing, Inc.","750 S. Deacon St.","Detroit","Michigan","48217","true","true","true","false","false","false","false","false","Service (non-professional)",,,,"Robert",,"313-382-2727 ext. 3","gochtowing.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business",,
"Goodwin Construction and Environmental","4052 Kendall Street","Detroit","MI","48238","false","false","false","true","false","false","true","true","Abatement, Asbestos Removal, Commercial Cleaning, Janitorial",,,,"Latoya",,"313-771-0554","goodwinconstruction313.com","Detroit Start Up; Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"Groundwork 0, LLC","2000 Brush St., Suite 262","Detroit","Michigan","48226","true","true","true","false","false","false","false","false","Computer Repair, Consulting, Engineering, Technology",,,,"Shane",,"5868230324.0","www.Groundwork0.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business",,
"Hamilton Anderson Associates, Inc.","1435 Randolph Street, Ste. 200","Detroit","MI","48226","true","true","true","false","false","false","false","true","Architectural",,,"906-56-00, 906-00-00, 906-07-05, 906-10-00, 906-72-00, 906-52-85","Marion",,"313-964-0270","www.hamilton-anderson.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business; Minority Owned Business Enterprise",,
"HNTB Michigan, Inc.","535 Griswold Street","Detroit","MI","48226","true","false","false","false","false","false","false","false","Professional Service",,,,"Eric",,"313-961-3330","hntb.com","Detroit Based Business",,
"Hotsy Midwest Cleaning Systems","34525 Industrial Rd","Livonia","MI","48150","false","false","false","false","false","false","true","false","Other","Hot and cold pressure washers, sales, service. rentals, detergents, parts, accessories",,"0751964, 0751985, 4853410, 4853631, 9291763","Peter",,"734-762-0580","www.hotsymidwestcleaningsystems.com","Woman Owned Business Enterprise",,
"Industrial Fence & Landscaping, Inc.","12030 Pleasant Street","Detroit","MI","48217","true","true","true","false","false","false","true","false","Specialty Construction",,,,"JoAnn",,"313-297-2997","www.industrialfenceco.com","Detroit Based Business; Detroit Headquartered Business; Detroit Small Business; Woman Owned Business Enterprise",,
"Inter City Protective Services, LLC","16135 Harper Ave Suite B","Detroit","Michigan","48224","true","true","true","false","false","false","false","true","Guard/Security Services",,,"990.0","Randolph",,"3138213000.0",,"Detroit Based Business; Detroit Headquartered Business; Detroit Small Business; Minority Owned Business Enterprise",,
"International Outdoor, Inc.","28423 Orchard Lake Rd, Suite 200","Farmington Hills","MI","48334","false","false","false","false","false","false","true","false","Professional Service",,,"801915962.0","Hind",,"2484898989.0","www.iobillboard.com","Woman Owned Business Enterprise",,
"InToto Studio LLC","12 W. MILWAUKEE STREET","DETROIT","MICHIGAN","48202","true","true","false","false","false","false","false","true","Architectural",,,,"JAMES",,"3134106546.0","intotostudio.com","Detroit Based Business; Detroit Headquartered Business; Minority Owned Business Enterprise",,
"J.J. Curran Crane Company","865 South Fort","Detroit","MI","48217","true","false","false","false","false","false","false","false","Specialty Construction",,,"975.0","Michael",,"3138421700.0","www.jjcurran.com","Detroit Based Business",,
"JIMA Studio PLLC","8151 LaSalle Boulevard","Detroit","MI","48206","true","true","false","false","false","false","true","true","Architectural, Consulting",,,,"Ujijji",,"6462178786.0","www.jimastudio.com","Detroit Based Business; Detroit Headquartered Business; Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"Language and Culture Consulting, LLC.","47275 Victorian Square North","Canton","Michigan","48188","false","false","false","false","false","false","true","true","Education/Training, Professional Service, Interpreter Service, Translation Service",,,"961-72-00; 961-72-52; 961-75-00; 961-75-42; 961-75-50; 961-75-52.","Maren",,"7343230739.0","https://www.languagecultureconsulting.com/","Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"Legacy Greens, LLC","6830 Varjo","Detroit","Michigan","48212","true","false","false","true","false","false","true","true","Retail",,,,"Donise",,"3134599506.0","www.legacygreensllc.com","Detroit Based Business; Detroit Start Up; Minority Owned Business Enterprise; Woman Owned Business Enterprise",,
"LGC Global, Inc.","7310 Woodward Ave, Ste 500","Detroit","MI","48202","true","true","false","false","false","false","false","true","Facilities Management, General Contractor",,,,"John",,"313-989-4141","lgccorp.com","Detroit Based Business; Detroit Headquartered Business; Minority Owned Business Enterprise",,
"Major Contracting Group Inc.","15347 Dale","Detroit","MI","48223","true","true","false","false","false","false","false","false","Asphalt & Concrete, General Construction, General Contractor",,,"790912913914.0","Desiree",,"313-215-0972",,"Detroit Based Business; Detroit Headquartered Business",,
"McMillian Group, Inc.","6001 Cass Ave., Suite 03-167","Detroit","Michigan","48202","true","false","true","false","false","false","false","true","Demolition, Trucking",,,"913-760-745","Alexander",,"313-281-8182",,"Detroit Based Business; Detroit Small Business; Minority Owned Business Enterprise",,
"Metro Building Materials, LLC","15847 GLENDALE STREET","DETROIT","MI","48227","true","true","true","false","false","false","true","false","Retail, Wholesale",,,"444190.0","JANICE",,"3132720955.0",,"Detroit Based Business; Detroit Headquartered Business; Detroit Small Business; Woman Owned Business Enterprise",,
"Metro Engineering Solutions LLC","2021 S. Shaefer","Detroit","MI","48217","true","false","false","false","false","false","true","false","Engineering",,,,"Jason",,"734-483-1427","https://metroes.net/","Detroit Based Business; Woman Owned Business Enterprise",,
"Metro Piping, Inc.","1500B Trombly Street","Detroit","Michigan","48211","true","true","false","false","false","false","false","true","Plumbing",,,,"Maureen",,"313-872-4330","www.metropiping.com","Detroit Based Business; Detroit Headquartered Business; Minority Owned Business Enterprise",,
"Metro Strategies, Inc.","2801 Clark Street, Ste. #2","Detroit","Michigan","48210","true","false","false","false","false","false","false","true","Consulting, Other","Workforce Development, Training, Drone data collection, Public Engagement",,"305 655 915 918 924 958 961 962 958","Terrence",,"3136051789.0","www.metrostrategies.org","Detroit Based Business; Minority Owned Business Enterprise",,
"Midtown Group LLC","5650 W. Jefferson Ave.","Detroit","MI","48209","true","false","true","false","false","false","false","false","General Construction",,,"909-910-912-914","Laura",,"3139241970.0","www.midtowngroupllc.com","Detroit Based Business; Detroit Small Business",,
"Midwest Steel, Inc.","2525 E. Grand BLVD.","Detroit","MI","48211","true","true","false","false","false","false","false","false","Specialty Construction",,,,"Ken",,"313-873-2220","www.midweststeel.com","Detroit Based Business; Detroit Headquartered Business",,
"Motor City Electric Co.","9440 Grinnell","Detroit","MI","48213","true","true","false","false","false","false","false","false","Electrical",,,,"Courteney",,"3139215300.0","www.mceco.com","Detroit Based Business; Detroit Headquartered Business",,
