"IO_ID","Address","OccupantName","StructureName","PropUseType","PropUseTypeDescription","InspectionType_Full","LatestInspDate","InspWithinLastYear","address_id","lon","lat"
"161973","119 Garfield","Sugar Hill",,"400"," Residential - Other","ANNUAL High Rise","14/9/2022 17:46:48","Yes","485882","-83.060411","42.354794"
"161957","1555 Mack","Pepsi-Detroit",,"700"," Manufacturing, Processing","ANNUAL 302 Site","14/9/2022 17:11:47","Yes","348446","-83.043968","42.355273"
"161961","13775 Buena Vista","13775 BUENA VISTA LLC",,"500"," Mercantile, Business - Other","ANNUAL Industrial Occupancy","14/9/2022 13:20:12","Yes","537514","-83.181875","42.383177"
"161974","18695 Sherwood","ALRO STEEL CORP","Alro Steel","700"," Manufacturing, Processing","ANNUAL 302 Site","14/9/2022 03:50:05","Yes","538643","-83.034844","42.431776"
"161924","18700 Meyers","Home Depot","Home Depot","500"," Mercantile, Business - Other","ANNUAL 302 Site","13/9/2022 17:37:20","Yes","16058","-83.169429","42.428537"
"161935","2131 Beaufait","GLEANERS COMMUNITY FOOD BANK",,"599"," Business Office","ANNUAL 302 Site","13/9/2022 16:00:24","Yes","278656","-83.013954","42.353902"
"161936","3579 Gratiot","Faygo Beverages","Faygo Beverages","700"," Manufacturing, Processing","ANNUAL 302 Site","13/9/2022 13:45:20","Yes","270094","-83.026548","42.362832"
"161925","7515 Lyndon","Detroit Chrome Inc. Aerotech","Detroit Chrome Inc., Aerotech","700"," Manufacturing, Processing","ANNUAL 302 Site","13/9/2022 12:31:02","Yes","68822","-83.146107","42.394994"
"161929","8530 Joy","Carla Barton","Carla Barton","200"," Educational - Other","ANNUAL Educational","13/9/2022 10:00:00","Yes","216212","-83.153848","42.359826"
"161914","600 East Lafayette","BCBSM Parking Structure","Tower and Support","882"," Parking Garage, General Vehicle","ANNUAL 302 Site","12/9/2022 15:15:15","Yes","348053","-83.038738","42.334294"
"160330","20800 West Seven Mile","VALERO GAS STATION","VALERO GAS STATION","571"," Service Station, Gas Station","ANNUAL Gas Station","12/9/2022 15:00:00","Yes","95738","-83.247791","42.429729"
"159919","21740 Fenkell","Brightmoor Petroleum Inc.","MARATHON GAS STATION","571"," Service Station, Gas Station","ANNUAL Gas Station","12/9/2022 14:00:00","Yes","110590","-83.256361","42.400612"
"161913","4600 Bellevue","AJAX METAL PROCESSING","Ajax Metal Processing","600"," Ind., Utility, Defense, Agriculture, Mining - Other","ANNUAL 302 Site","12/9/2022 12:50:07","Yes",,,
"161927","5680 Konkel","Academy of the Americas Elementary Middle School - DPS","Academy of the Americas/ St Hedwigs","200"," Educational - Other","ANNUAL Educational","12/9/2022 10:00:00","Yes","539926","-83.110535","42.327116"
"122536","1511 Broadway","Sid Golds","Sid Golds","100"," Assembly - Other","ANNUAL Assembly Occupancy","10/9/2022 01:39:47","Yes",,,
"147111","30 Clifford","Downtown Louie's Lounge","Downtown Louie's Lounge","100"," Assembly - Other","ANNUAL Assembly Occupancy","9/9/2022 23:05:36","Yes","12580","-83.050112","42.334832"
"161883","10420 McNichols","Oakman Child Care",,"254"," Day Care, In Commercial Property","ANNUAL Child Care Center (Day Care)","9/9/2022 22:00:42","Yes","535118","-83.165214","42.417014"
"154230","14537 Gratiot","Chan's Chinese Food",,"500"," Mercantile, Business - Other","ANNUAL Assembly Occupancy","9/9/2022 18:55:17","Yes","225601","-82.976006","42.438197"
"159806","19121 Telegraph","QSJ HEALTH SPA",,"000"," Property Use - Other","ANNUAL Business Occupancy","9/9/2022 17:00:00","Yes","352722","-83.278152","42.429909"
"161939","4001 West McNichols","U OF D MERCY - STUDENT CENTER","Student Center","241"," Adult Education Center, College Classroom","ANNUAL Residential","9/9/2022 16:25:18","Yes","253760","-83.137074","42.412945"
"161836","19250 West McNichols","SIX MILE SUNOCO INC/SUNOCO GAS","Sunoco Gas","571"," Service Station, Gas Station","ANNUAL Gas Station","9/9/2022 16:00:00","Yes","101394","-83.231125","42.415603"
"161889","10711 West McNichols","African Clothing & Products","A and H Development, LLC","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","9/9/2022 15:00:31","Yes",,,
"161888","10641 McNichols","Premier Care Physical Therapy",,"599"," Business Office","ANNUAL Business Occupancy","9/9/2022 13:30:47","Yes","94934","-83.167748","42.416476"
"161838","1220 West Canfield","Speech and Hearing Clinic",,"200"," Educational - Other","ANNUAL Educational","9/9/2022 13:00:00","Yes","45884","-83.07367","42.349411"
"161887","10741 West McNichols","LON'S CONEY ISLAND","LON'S CONEY ISLAND","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","9/9/2022 12:45:16","Yes","94931","-83.16882","42.416439"
"161886","11000 West McNichols","MCNICHOLS OFFICE CENTER","MCNICHOLS OFFICE CENTER","UUU"," Undetermined","ANNUAL Business Occupancy","9/9/2022 11:00:23","Yes","15026","-83.169539","42.416946"
"161837","4555 John C. Lodge","Office of Specialized Student Services","Office of Specialized Student Services","200"," Educational - Other","ANNUAL Educational","9/9/2022 10:00:00","Yes",,,
"140850","17045 East Warren","A.B. AUTO COMPANY",,"571"," Service Station, Gas Station","ANNUAL Repair Garage","9/9/2022 02:52:49","Yes","352219","-82.930531","42.406217"
"161824","17100 East Warren","SHERWIN WILLIAMS PAINT","SHERWIN WILLIAMS PAINT","UUU"," Undetermined","ANNUAL Mercantile Occupancy","8/9/2022 19:00:19","Yes","352221","-82.929507","42.40595"
"161839","15470 East Eight Mile","MEGA AUTO","Mega Auto","579"," Motor Vehicle or Boat Sales, Services, Repair","ANNUAL Business Occupancy","8/9/2022 17:36:31","Yes","351836","-82.962418","42.449648"
"161807","11000 East Eight Mile","FCF","City of Detriot Water and Sewage","640"," Utility or Distribution System - Other","ANNUAL Industrial Occupancy","8/9/2022 17:06:32","Yes","535151","-83.013302","42.44217"
"160442","24600 West McNichols","GREEN GENIE INC","Green Genie Inc.","549"," Specialty Shop","ANNUAL Business Occupancy","8/9/2022 15:00:00","Yes","108301","-83.283908","42.414635"
"161892","17200 West McNichols","BRAND PARTY SHOPPE","Brand Party Shoppe","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","8/9/2022 14:00:17","Yes","82844","-83.212264","42.415932"
"161891","13000 West McNichols","THE GREENING OF DETROIT","The Greening of Detroit","599"," Business Office","ANNUAL Business Occupancy","8/9/2022 13:00:01","Yes","67678","-83.173821","42.416863"
"161890","10600 West McNichols","WESTSIDE PHARMACY","Westside Pharmacy","UUU"," Undetermined","ANNUAL Mercantile Occupancy","8/9/2022 12:15:22","Yes","15044","-83.167309","42.417053"
"161799","1435 Farmer","The Lip Bar",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","8/9/2022 11:39:30","Yes",,,
"161882","7700 West McNichols","SANTA BARBERA MARKET",,"500"," Mercantile, Business - Other","ANNUAL Business Occupancy","8/9/2022 11:30:26","Yes","13439","-83.14904","42.417411"
"161881","7624 West McNichols","McDougall Hardware",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","8/9/2022 11:00:54","Yes","14068","-83.148199","42.417343"
"161814","1300 West Canfield","Edmonson Elementary school","GEE Edmonson Academy","200"," Educational - Other","ANNUAL Educational","8/9/2022 11:00:00","Yes","45882","-83.074527","42.349239"
"161474","10009 Curtis","CHEF GREG'S SOUL - N- THE WALL",,"599"," Business Office","ANNUAL Business Occupancy","8/9/2022 10:30:16","Yes",,,
"161804","10101 East Canfield","Detroit Lions Academy - DPS","Detroit Lions Academy","200"," Educational - Other","ANNUAL Educational","8/9/2022 09:30:00","Yes","300389","-82.993613","42.378837"
"161829","16500 East Warren","Royal Auto Clinic","ROYAL AUTO CLINIC","579"," Motor Vehicle or Boat Sales, Services, Repair","ANNUAL Repair Garage","8/9/2022 03:25:32","Yes","352090","-82.935987","42.40344"
"161828","16654 East Warren","WARREN BEAUTY SUPPLY","WARREN BEAUTY SUPPLY","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","8/9/2022 03:07:01","Yes","333649","-82.934262","42.40413"
"148081","4870 Cass","MARWIL PROPERTIES, LLC",,"UUU"," Undetermined","ANNUAL Assembly Occupancy","7/9/2022 23:55:01","Yes","349357","-83.06604","42.355671"
"161816","17441 Mack","BOGART'Z FOOD & SPIRITS","Bogart'z","100"," Assembly - Other","ANNUAL Assembly Occupancy","7/9/2022 20:39:25","Yes","317450","-82.919518","42.398836"
"161773","6400 West Warren","MOTORAMA, INC.",,"UUU"," Undetermined","ANNUAL Business Occupancy","7/9/2022 17:45:21","Yes","349641","-83.132501","42.345167"
"161772","15550 Joy","Simply 10","Simply 10","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","7/9/2022 17:10:23","Yes","509952","-83.199398","42.358475"
"161771","15510 Joy","Motor City Clean Scene","Joyland Shopping Center","564"," Laundry, Dry Cleaning","ANNUAL Business Occupancy","7/9/2022 16:30:38","Yes","222114","-83.197896","42.359605"
"148317","24831 West McNichols","PLANET AUTO SERVICES",,"579"," Motor Vehicle or Boat Sales, Services, Repair","ANNUAL Repair Garage","7/9/2022 16:30:00","Yes","105692","-83.285842","42.414024"
"161785","2233 Park","DBA Town Pump","Iodent","100"," Assembly - Other","ANNUAL High Rise","7/9/2022 15:23:56","Yes","21986","-83.053948","42.337947"
"161794","14230 West McNichols","DMC Crisis Center Psychiatry","DMC Crisis Center Psychiatry","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","7/9/2022 15:00:34","Yes","66713","-83.185515","42.416839"
"159920","24861 West McNichols","A & A SIX MILE FUEL INC.","SUNOCO GAS STATION","571"," Service Station, Gas Station","ANNUAL Gas Station","7/9/2022 15:00:00","Yes","105952","-83.286253","42.413903"
"161769","8892 Greenfield","LA Insurance","LA Insurance","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","7/9/2022 14:50:34","Yes","540554","-83.196788","42.359572"
"161768","8997 Greenfield","Happy's Pizza","Happy's Pizza","500"," Mercantile, Business - Other","ANNUAL Business Occupancy","7/9/2022 14:20:27","Yes","350334","-83.197481","42.360126"
"161793","14035 West McNichols","DAVIS CUT RATE DRUGS",,"UUU"," Undetermined","ANNUAL Mercantile Occupancy","7/9/2022 14:20:20","Yes","94973","-83.183767","42.416294"
"147599","14015 West McNichols","NEW BEGINNINGS CHILD CARE CENTER",,"254"," Day Care, In Commercial Property","ANNUAL Child Care Center (Day Care)","7/9/2022 13:20:41","Yes","88986","-83.183309","42.416281"
"161790","13348 West McNichols","A-Q 40 MINUTE CLEANERS","A-Q 40 MIN CLEANERS","600"," Ind., Utility, Defense, Agriculture, Mining - Other","ANNUAL Industrial Occupancy","7/9/2022 12:45:45","Yes","67922","-83.177278","42.416853"
"161766","15525 West Chicago","CHURCH'S CHICKEN","CHURCH'S CHICKEN","500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","7/9/2022 12:45:30","Yes","216264","-83.197789","42.365082"
"161789","13337 West McNichols","GOLDEN BOWL CHOP SUEY","Garden Bowl Chop Suey","UUU"," Undetermined","ANNUAL Business Occupancy","7/9/2022 12:00:30","Yes","94977","-83.177219","42.416345"
"161765","9546 Greenfield","Greenfield Unlimited/Boosts Mobile",,"500"," Mercantile, Business - Other","ANNUAL Mercantile Occupancy","7/9/2022 11:45:31","Yes","350439","-83.196945","42.366108"
