"establishment_id","name","address","zip_code","owner","license_number","license_type","most_recent_license_date","establishment_type","status","restaurant_complexity_level","review_frequency_in_days","address_id","lat","lon"
"1000","St. Cecilia Elementary School","6327 Burlingame Ave.","48204","Archdiocese of Detroit","035047","Fixed Establishment","4/23/2010","Non-Public School","Open",,"250","349621","42.3729667599999","-83.13995361"
"1001","Angell Primary","8858 Petoskey","48238","Detroit Board of Education","035048","Fixed Establishment","12/4/2006","Public School","Permanently Closed",,"150",,,
"1002","St. Brigid School Montessori","8091 Ohio","48226","St Luke St Brigid School","035050","Fixed Establishment",,"Non-Public School","Permanently Closed",,"180","540310","42.3533504689172","-83.1531322800465"
"1003","T & J Coney Island","20601 Eight Mile Rd. W.","48219","Pjeter Markaj","074705","Fixed Establishment","4/22/2022","Food Service Establishment","Open",,"150","96957","42.4432701978984","-83.2457852943221"
"1004","Kentucky Fried Chicken ","9848 Livernois Ave.","48204","FQSR LLC dba KBP FOODS","202848","Fixed Establishment","4/26/2022","Food Service Establishment","Open",,"150","72317","42.369352333415","-83.1384764634418"
"1005","Burger King #1009","2155 Gratiot Ave.","48207","EYM King of Michigan LLC","078348","Fixed Establishment","4/14/2022","Food Service Establishment","Open",,"335","258668","42.350158613448","-83.03404181863"
"1006","John Nichols Elementary","3020 Burns","48214","Detroit Bd. of Education","035057","Fixed Establishment","6/8/2021","Public School","Open",,"180","245577","42.3670484471362","-82.998261748559"
"1007","St. Casimir Elementary School","3361 Twenty-third","48208","Archdiocese of Detroit","035058","Fixed Establishment","12/4/2006","Non-Public School","Open",,"180",,,
"1008","Carstens Elementary School","2592 Coplin St.","48215","BOARD OF EDUCATION CITY OF DET","035061","Fixed Establishment","3/31/2011","Public School",,,"250","539300","42.3799151207553","-82.9544901682471"
"1009","General George Patton Post #11","4930 Central","48210","/Hugh Melvin","035062","Fixed Establishment","5/5/2017","Food Service Establishment","Open",,"500","349370","42.3316843510018","-83.1377602703016"
"1011","Crossroads Cafe","411 Lafayette Ave. W.","48226","Sodexo Management Inc.","035064","Fixed Establishment","4/28/2009","Food Service Establishment","Open",,"150","293443","42.3296238100387","-83.0518748339814"
"1012","Burger King #1028","9871 Livernois Ave.","48204","EYM King of Michigan LLC","075689","Fixed Establishment","4/14/2022","Food Service Establishment","Open","Medium","335","72185","42.3697597610162","-83.1392563297971"
"1013","Church's Fried Chicken #302","7060 Michigan Ave.","48226","QSR Midwest Group LLC","243190","Fixed Establishment","4/12/2022","Food Service Establishment","Open","Medium","150","213836","42.331401207514","-83.1317672785607"
"1014","L. George's Restaurant Coney Island","16835 Warren Ave. W.","48228","Thaqi Holding","202254","Fixed Establishment",,"Food Service Establishment","Open",,"150","352163","42.4053282370639","-82.9326932864387"
"1015","Casey's Bar L.L.C.","7677 Dix Ave.","48209","Patrick M. Casey","035068","Fixed Establishment","4/26/2022","Food Service Establishment","Open",,"335","39712","42.3168657182083","-83.1270671972109"
"1017","McDonald's Detroit","20405 Conant Ave.","48234","Sonja Shields","035070","Fixed Establishment",,"Food Service Establishment","Open","Medium","335","255145","42.4453745506662","-83.0829324097612"
"1018","Country Inn","18051 Mack Ave.","48224","ANTHONY P BUSCEMI","035071","Fixed Establishment","12/4/2006","Food Service Establishment","Open",,"150","322418","42.405850662515","-82.9160933161225"
"1019","Little Caesar's Pizza #90","19190 Kelly","48224","Little Caesars Enterprises, In","035073","Fixed Establishment","4/12/2022","Food Service Establishment","Open",,"335","352758","42.4356803799998","-82.95165252"
"1020","Mason PK-8 @ Farwell Jr. High School","19955 Fenelon St.","48238","BOARD OF EDUCATION-CITY OF DET","035074","Fixed Establishment","4/15/2019","Public School","Open","Medium","180","538953","42.4421915026333","-83.0548915124718"
"1021","Giovanni's Ristorante","330 Oakwood Blvd.S.","48217","Frances C Truant","035075","Fixed Establishment","5/19/2020","Food Service Establishment","Open","High","150","7491","42.2902389146418","-83.1463121793197"
"1022","Olympia Shish-Kebab Inc","532 Monroe","48226","Olympia Shish-Kebab Inc.","035076","Fixed Establishment","5/5/2008","Food Service Establishment","Permanently Closed",,"150","251916","42.3349122834999","-83.0418257365014"
"1023","U Of D Coney Island #1","16126 Livernois Ave.","48221","Deda Djokaj","035077","Fixed Establishment","4/26/2022","Food Service Establishment","Open",,"150","28578","42.4103677403885","-83.1402256005709"
"1024","Stark Elementary","12611 Avondale","48215","BRD OF EDUCATION DETROIT CITY","035079","Fixed Establishment","5/21/2008","Public School","Permanently Closed",,"180",,,
"1025","Westside Academy of Alterna.","12305 Dexter","48238","Detroit Board of Education","035080","Fixed Establishment","6/21/2010","Public School","Permanently Closed",,"150","350925","42.3838042003142","-83.127393566004"
"1026","Stewart Elementary","12701 Fourteenth","48238","Detroit Board of Education ","035081","Fixed Establishment","4/28/2006","Public School","Permanently Closed",,"150",,,
"1027","Birney Elementary","4055 Richton","48238","Detroit Board of Education","035082","Fixed Establishment","5/2/2008","Public School","Open",,"515",,,
"1028","Detroit City High School","3500 McGraw","48208","Detroit Board of Education","035083","Fixed Establishment","12/4/2006","Public School","Permanently Closed",,"335","395371","42.351314884446","-83.1058941162486"
"1029","New Paradigm/Glazer Elementary","2001 LaBelle","48238","Keys Grace Academy","243140","Fixed Establishment","4/19/2022","Public School","Open",,"150",,,
"1030","Carstens at Remus Robinson School","13000 Essex","48215","BRD OF EDUCATION DETROIT CITY","035085","Fixed Establishment","6/8/2021","Public School","Open",,"180","338262","42.3636574738617","-82.9478211679696"
"1031","Fairbanks Elementary","8000 John C. Lodge","48238","Detroit Board of Education","035087","Fixed Establishment","12/4/2006","Public School","Permanently Closed",,"150","350031","42.3717933650589","-83.0839928547139"
"1032","Harding Elementary School","14450 Burt  Rd.","48223","Detroit Board of Education","035088","Fixed Establishment","6/23/2010","Public School","Permanently Closed",,"250","252439","42.3922809219762","-83.2461763991051"
"1033","Gompers Elementary School","20601 Davison Ave. W.","48228","Detroit Board of Education","035089","Fixed Establishment","6/24/2010","Public School","Open",,"250","465556","42.3833517227543","-83.2430648903693"
"1034","Mae C. Jemison Academy","16400 Tireman","48228","Detroit Board of Education","035090","Fixed Establishment","6/1/2012","Public School","Open",,"180","538219","42.3489618765439","-83.2068079348497"
"1035","Timbuktu High School","5221 Montclair","48213","","035091","Fixed Establishment","5/17/2012","Public School","Permanently Closed",,"180",,,
"1037","Detroit Lions Academy","10101 Canfield E.","48214","BRD OF EDUCATION DETROIT CITY","035093","Fixed Establishment","6/8/2021","Public School","Open",,"180","300389","42.3788374060283","-82.9936131390998"
"1038","Bethune Academy at Guest Middle School","10825 Fenkell","48238","Detroit Board of Education ","035094","Fixed Establishment","6/21/2010","Public School","Open",,"150","350682","42.4014862429207","-83.1688933211094"
"1039","Chrysler Elementary","1445 Lafayette Ave. E.","48238","Detroit Board of Education","078722","Fixed Establishment","4/15/2019","Public School","Open",,"180","247716","42.3384517902903","-83.0337706927032"
"1040","Bethune Academy","13001 Fenkell","48227","Detroit Board of Education","035096","Fixed Establishment","6/21/2010","Public School","Open",,"150","86531","42.4019070114643","-83.1731131242087"
"1041","Golightly Middle School","5536 St. Antoine St.","48202","Detroit Board of Education","070328","Fixed Establishment","6/8/2021","Public School","Open","Medium","180","326766","42.3648238284542","-83.0594435832287"
"1042","Charles R. Drew Transition","9600 Wyoming","48204","Detroit Board of Education","035099","Fixed Establishment",,"Public School","Open",,"180","216345","42.3673585954959","-83.1571439751083"
"1043","Ted's Cafe DBA The Baltimore","1234 Randolph","48226","Hilda Neda","035100","Fixed Establishment","4/12/2022","Food Service Establishment","Open",,"335","12312","42.3345597550432","-83.0447143841693"
"1044","Church's Fried Chicken #452","11501 Woodward Ave.","48202","Falcoln Holdings","035101","Fixed Establishment","4/24/2019","Food Service Establishment","Open","Medium","150","3216","42.3912022629875","-83.087808453677"
"1045","GJon's Corporation","1700 McNichols Ave. E.","48203","Martin Bardhi","077863","Fixed Establishment","4/28/2017","Food Service Establishment","Open","High","150","269831","42.4176394845547","-83.0857361570143"
"1046","McDonald's #2071","6003 Vernor St.W.","48209","NAV INC.","046668","Fixed Establishment","4/22/2022","Food Service Establishment","Open","Medium","335","177854","42.3158762544134","-83.1059326703867"
"1047","Arts In Academic's","2200 Ewald Circle",,"DETROIT PUBLIC SCHOOL","035106","Fixed Establishment",,"Public School","Permanently Closed",,"180","414727","42.3938665817931","-83.1346898580902"
"1048","Little Caesar's Pizza #86","15605 Mack Ave.","48224","Little Caesars Enterprises, In","035108","Fixed Establishment",,"Food Service Establishment","Open",,"335","351866","42.3886337199999","-82.9404449399999"
"1049","Reggie's Moulin Rouge","10845 Chicago W.","48204","Dating Game Inc.","035109","Fixed Establishment",,"Food Service Establishment","Temporarily Closed",,"335",,,
"1050","Detroit Robin Inc./Red Robin ","18650 Ford Rd.","48228","Ansara Restaurant Group","035110","Fixed Establishment",,"Food Service Establishment","Open","High","150","215162","42.329292751696","-83.2224119084204"
"1051","Kentucky Fried Chicken H730215","2716 Grand Blvd. W.","48208","FQSR LLC D/B/A KBP FOODS","202826","Fixed Establishment","4/26/2022","Food Service Establishment","Open",,"150","54198","42.3650212314688","-83.086142399883"
"1052","Blue Diamond","2453 Campbell St. N.","48209","Daniel Vega","078800","Fixed Establishment","5/18/2022","Food Service Establishment","Open",,"335","218908","42.3214712494155","-83.1073296867025"
"1053","Our Lady Queen Of Heaven","8200 Rolyat  St","48234","OUR LADY QUEEN-HEAVEN PARISH","075183","Fixed Establishment",,"Non-Public School","Open",,"335","269481","42.4393249471779","-83.0212133192056"
"1054","Clinton Elementary","8145 Chalfonte","48238","Detroit Board of Education","035114","Fixed Establishment","5/21/2008","Public School","Open",,"180","444574","42.3991631402995","-83.1507809351537"
"1055","Shurly School","14450 Burt  Rd.","48223","Detroit Board of Education","035115","Fixed Establishment","6/23/2010","Public School","Permanently Closed",,"150","252439","42.3922809219762","-83.2461763991051"
"1056","Tameleria Nuevo Leon","2669 Vernor St.W.","48216","Susana N. Garza","072036","Fixed Establishment","4/29/2019","Food Service Establishment","Open",,"335","241463","42.3263150805567","-83.0800356206075"
"1057","Van Zile Elementary","2915 Outer Dr. E.","48234","Board of Education","035117","Fixed Establishment","3/4/2011","Public School","Permanently Closed",,"180","536098","42.4411470146814","-83.0545431237107"
"1058","Paul Robeson/Malcolm X Early Learn. Ctr.","14900 Parkside Ave.","48238","Detroit Board of Education","064221","Fixed Establishment","4/21/2011","Public School","Open",,"150",,,
"1059","MAAT IM Hotel Tech Academy","12700 Grover","48205","Detroit Board of Education","035119","Fixed Establishment","12/4/2006","Public School","Permanently Closed",,"150","496576","42.424205578734","-82.9784080517924"
"1060","Macomb Elementary","12021 Evanston","48213","Detroit Board of Education","035120","Fixed Establishment","7/9/2008","Public School","Open",,"150","536996","42.4000711429454","-82.9841843862214"
"1061","Nick's Coney Island #3","10525 Grand River","48204","Roko Krcic","035121","Fixed Establishment","12/4/2006","Food Service Establishment","Open",,"180","462808","42.3716510512295","-83.1475711601712"
"1062","Midnights Inn #422718","3250 Wesson","48210","KROL RONALD J","035124","Fixed Establishment","4/30/2015","Food Service Establishment","Open",,"365","149633","42.3268685650336","-83.1122471726657"
"1063","L. A. Coney Island","13550 Livernois Ave.","48238","Pjeter Markaj","035125","Fixed Establishment","5/2/2019","Food Service Establishment","Open","Medium","150","69642","42.3874298844651","-83.1391153524983"
"1064","J's Lounge","2901 Warren W.","48208","Mary Jackson","035127","Fixed Establishment","4/29/2009","Food Service Establishment","Permanently Closed",,"500","541725","42.3468184631467","-83.094486726311"
"1065","Rollercade Roller Rink","2130 Schaefer Hwy. S.","48217","Earl Folks","035129","Fixed Establishment",,"Food Service Establishment","Temporarily Closed",,"500","535935","42.2750525993589","-83.1525378963434"
"1066","El Barzon","5517 Michigan Ave.","48210","Norberto Garito","3710EB","Fixed Establishment",,"Food Service Establishment","New Owner/Complete Reconstruct","High","150","257573","42.3309279610795","-83.1109573637277"
"1067","Barton Elementary","8530 Joy Rd.","48204","Detroit Board of Education","238008","Fixed Establishment",,"Public School","Open",,"180","216212","42.3598262578887","-83.1538478542984"
"1068","Burger King #767","17440 Warren Ave. E.","48224","EYM King of Michigan LLC","078356","Fixed Establishment","4/14/2022","Food Service Establishment","Open",,"150","324010","42.4074938220445","-82.9251112031837"
"1069","Lincoln Bar","6110 Fort St. W.","48209","Rose Hodgson","035135","Fixed Establishment","6/30/2009","Food Service Establishment","Open",,"500","531090","42.3077717150776","-83.1014904809087"
"1070","Cooly's Chicken Shack","14000 Wyoming","48238","Cooley Jannie","035136","Fixed Establishment",,"Food Service Establishment","Temporarily Closed",,"150","537581","42.389982214456","-83.1588519297748"
"1071","McDonald's #2527","10400 Gratiot Ave.","48213","ECS Partnership","035138","Fixed Establishment","4/26/2019","Food Service Establishment","Open","Medium","335","208004","42.3992681931664","-83.0005124375207"
"1072","Chuck's Millionaire","14701 Plymouth Rd.","48227","Charlie Thomas","035139","Fixed Establishment",,"Food Service Establishment","Permanently Closed",,"150","537812","42.3725823131479","-83.1890089299617"
"1073","Hong Moy","7415  Harper","48213","Ka Shue Leung","035140","Fixed Establishment",,"Food Service Establishment","Open","High","150","170586","42.3867239760603","-83.0250960684581"
"1074","State Fair Apartments","1231 State Fair W.","48203","Detroit Area Agency on Aging","078816","Fixed Establishment",,"Food Service Establishment","Open",,"350","65213","42.4389538869404","-83.1179238573168"
"1075","Omega Coney Island","9500 Greenfield Ave.","48227","Djoka Gojcaj","200068","Fixed Establishment","4/14/2022","Food Service Establishment","Open",,"150","216269","42.3655663770911","-83.1969482258208"
"1076","Franklin Wright Settlement","3360 Charlevoix","48207","Franklin Wright Settlement","077859","Fixed Establishment",,"Food Service Establishment","Temporarily Closed",,"335","316431","42.3549963813666","-83.0234256835409"
"1077","Harriet Tubman Apts.","2450 Grand Blvd. W.","48208","Detroit Area Agency on Aging","035145","Fixed Establishment",,"Food Service Establishment","Open",,"500","81215","42.3613434154854","-83.0946358090273"
"1078","Mt. Zion Evangelic Lutheran Church","13560 McNichols E.","48207","Good & Friendship/Det Meals on","035146","Fixed Establishment",,"Food Service Establishment","Open",,"180","226988","42.4265483936839","-82.9844694913445"
"1079","Warren West Apts.","4100 Warren Ave. W.","48210","Detroit Area Agency on Aging","035147","Fixed Establishment",,"Food Service Establishment","Permanently Closed",,"325","153129","42.3453151564025","-83.1103398083425"
"1080","Paul's Corner","8740 Michigan Ave.","48210","Paul Jones","035148","Fixed Establishment","5/12/2009","Food Service Establishment","Permanently Closed",,"150","217037","42.3299715356381","-83.1494811823903"
"1081","Kentucky Fried Chicken ","8939 Seven Mile Rd. W.","48221","FQSR LLC DBA KBP FOODS","202820","Fixed Establishment","4/26/2022","Food Service Establishment","Open",,"150","15147","42.4310966456821","-83.1604475301199"
"1082","Salvation Army","1627 Fort W.","48216","Lynne Williams","078803","Fixed Establishment",,"Food Service Establishment","Open",,"150","245301","42.3233792586963","-83.0634896732753"
"1083","Chan's Chinese Restaurant","14537 Gratiot Ave.","48205","Guang Liang","238141","Fixed Establishment","4/22/2022","Food Service Establishment","Open","High","150","225601","42.4381974122395","-82.9760058039619"
"1084","Paradise Chop Suey","9333 Grand River Ave.","48204","Yuan H. Liang","053700","Fixed Establishment","4/12/2022","Food Service Establishment","Open",,"150","71031","42.3658182062716","-83.1323268773591"
"1085","Pitcher Elementary School","19779 Stahelin Ave.","48219","Detroit Board of Education","035154","Fixed Establishment","11/30/2008","Public School","Permanently Closed",,"150",,,
"1086","Rocky's Grill Coney Island","24611 McNichols Rd. W.","48219","Pashko Vataj","035155","Fixed Establishment","4/28/2019","Food Service Establishment","Permanently Closed",,"150","110350","42.4140574918926","-83.2839336743386"
"1087","Menjo's","928 McNichols W.","48203","J & D Group Corporation","075430","Fixed Establishment","4/26/2022","Food Service Establishment","Open",,"335","279448","42.4178386714164","-83.1152785331451"
"1088","Koney Time Restaurant","15098 Seven Mile Rd. E.","48205","Vera Jakaj","035157","Fixed Establishment","4/1/2022","Food Service Establishment","Open","High","150","98267","42.4352381273827","-82.9659340177667"
"1089","Loco Bar & Grill","454 Lafayette Ave. E.","48226","Temple Plaza, Inc.","035158","Fixed Establishment","4/20/2022","Food Service Establishment","Open","High","150",,,
"1090","Green Dot Stables","2200 Lafayette W.","48216","JCD Detroit, Inc.","071395","Fixed Establishment",,"Food Service Establishment","Open",,"150","245002","42.3218583428803","-83.0714647139953"
"1091","River Towers Apartments","7800 Jefferson Ave. E.","48214","River Towers LDHA","241581","Fixed Establishment","6/23/2022","Food Service Establishment","Temporarily Closed","Medium","335","242134","42.349459037563","-82.9956293546282"
"1092","St. Patrick Senior Center, Inc.","58 Parsons St.","48201","St. Patrick Senior Center, Inc","035163","Fixed Establishment","4/11/2022","Food Service Establishment","Open","High","150","231437","42.3484594275481","-83.0597673716623"
"1093","Church's Fried Chicken #456","19741 McNichols Rd. W.","48219","QSR Midwest Group","238095","Fixed Establishment","4/24/2019","Food Service Establishment","Open","Medium","150","119491","42.4148454900255","-83.2366359112608"
"1094","Royal Skateland","5201 Alter Rd.","48224","Mich. Skatelands, Inc.","035166","Fixed Establishment","4/1/2022","Food Service Establishment","Open",,"335","349419","42.3986244199998","-82.9561004599999"
"1095","Jons Coney Island","5101 McNichols Ave. E.","48212","Deda Dedvukaj","230571","Fixed Establishment",,"Food Service Establishment","Open","High","150","272764","42.4190080705095","-83.0518882327291"
"1096","Happy Times Bar","15403 Harper","48224","Happy Times Bar, Inc.","035168","Fixed Establishment","12/4/2006","Food Service Establishment","Permanently Closed",,"335","542576","42.4075426612446","-82.9553500313373"
"1097","Hayloft Saloon","8070 Greenfield","48228","KKC Entertainment","238106","Fixed Establishment","5/12/2022","Food Service Establishment","Open","Medium","335","215938","42.3520616242364","-83.1963307239804"
"1098","Union Street Detroit","4145 Woodward Ave.","48201","Ginger Zauner-Barris","035170","Fixed Establishment","1/13/2021","Food Service Establishment","Permanently Closed","High","150","258213","42.3511894637864","-83.0608430087239"
"1099","Butzel Recreation Center","7737 Kercheval","48214","Detroit Parks and Recreation","203694","Fixed Establishment","4/30/2020","Food Service Establishment","Temporarily Closed",,"335","274672","42.3579936958554","-83.0022439448425"
"1100","Pano's Restaurant","404 Congress W.","48226","Stathopoulos Pete","035172","Fixed Establishment",,"Food Service Establishment","Temporarily Closed",,"150","347930","42.3285010613073","-83.050546208902"
"1101","Cafe Sonshine","8902 Second","48202","Janine Terrell-manager","055114","Fixed Establishment","4/30/2012","Food Service Establishment","New Owner/Complete Reconstruct",,"150","350307","42.3803214999999","-83.08361816"
"1102","Detroit Day School For The Deaf","4555 John C. Lodge","48201","Detroit Board of Education","035176","Fixed Establishment","6/1/2012","Public School","Open",,"180",,,
"1103","McDonald's","2889 Grand Blvd. W.","48202","JMC #4 Inc/ Jon Campbell","255106","Fixed Establishment","4/26/2022","Food Service Establishment","Open","Medium","335","336000","42.3679306105045","-83.0808704016384"
"1104","Maison Fine Food Inc.","13031 Mack Ave.","48215","Muftari Muftar","035178","Fixed Establishment","4/1/2021","Food Service Establishment","Permanently Closed",,"150","303556","42.3850120120824","-82.9613189885089"
"1105","Lucky O Bar","5816 Chene","48211","THOMAS C SKAMIERA","035180","Fixed Establishment","12/4/2006","Food Service Establishment","Permanently Closed",,"515","262333","42.3723246700829","-83.0447755379028"
