"inspection_id","establishment_id","name","inspection_date","inspection_type","inspector_id","priority_violations","foundation_violations","core_violations","total_corrected_priority___foun","in_compliance"
"27513","4392","The Bottom Line Coffee House","11/18/2019","Routine Inspection","114","4","3","7","7","Yes"
"34535","1021","Giovanni's Ristorante","9/20/2016","Routine Inspection","128","0","0","3","0","Yes"
"34608","1353","Vince's Italian Rest & Pizzeria","9/20/2016","Routine Inspection","128","1","2","5","1","No"
"34663","5121","Brightmoor Artisans Collective","2/21/2017","Plan Review/Pre-Open","122","0","0","0","0","Yes"
"34690","4960","El Parian Commissary","10/11/2016","Routine Inspection","128","0","1","5","0","No"
"34754","5111","Detroit 75 II, LLC","1/30/2017","Mobile Inspection","87","0","0","0","0","Yes"
"35118","3920","The Ham Shoppe","9/20/2016","Routine Inspection","128","2","2","2","2","No"
"36027","3095","Los Corrales","8/1/2016","Routine Inspection","128","1","1","2","2","Yes"
"36028","435","Chita's Nefertiti's Bar","8/1/2016","Routine Inspection","127","0","0","0","0","Yes"
"36029","1710","St. Christine's Community Soup Kitchen","8/1/2016","Routine Inspection","127","0","0","0","0","Yes"
"36032","5193","Gus's Fried Chicken","8/1/2016","Preopening/New","122","0","0","1","0","Yes"
"36035","1521","Mt. Vernon Missionary Baptist Church","8/2/2016","Routine Inspection","127","0","0","0","0","Yes"
"36036","5267","Ocean Splash Fish & Chicken","8/1/2016","Preopening/New","122","0","0","2","0","Yes"
"36037","1961","Subway 12011","8/2/2016","Routine Inspection","87","1","0","0","1","Yes"
"36038","1548","Anani ","8/2/2016","Preopening/COO","87","0","2","6","2","Yes"
"36039","2390","Edibles Rex","8/2/2016","Routine Inspection","87","1","0","4","1","Yes"
"36056","5327","Detroit Water Ice Factory","8/3/2016","Preopening/New","122","0","0","0","0","Yes"
"36059","4765","Detroit Vegan Soul, LLC","8/3/2016","Routine Inspection","87","0","0","0","0","Yes"
"36061","1147","El Rancho Mexican Restaurant","8/3/2016","Routine Inspection","128","2","2","3","4","Yes"
"36062","5292","Subway","8/2/2016","Preopening/New","129","1","0","0","1","Yes"
"36063","389","Golden Fleece Restaurant Inc.","8/1/2016","Routine Inspection","129","4","5","7","9","No"
"36070","2950","Slows BBQ","8/1/2016","Routine Inspection","124","3","1","2","3","Yes"
"36080","5033","Great Lakes Coffee Beanery","8/2/2016","Routine Inspection","121","0","0","2","0","Yes"
"36081","5000","Sinai Grace Hospital","8/2/2016","Routine Inspection","121","2","4","7","6","No"
"36082","3919","Sterling Services Comerica ODC","8/4/2016","Routine Inspection","121","1","3","1","4","Yes"
"36083","201","Taqueria El Nacimiento","8/4/2016","Routine Inspection","128","2","2","3","4","Yes"
"36091","2766","Wendy's ","8/8/2016","Routine Inspection","87","1","0","1","1","Yes"
"36093","2296","Wendy's Old Fashioned Hamburgers #2259","8/4/2016","Routine Inspection","121","0","0","0","0","Yes"
"36094","5334","Marygrove College","8/8/2016","Routine Inspection","121","1","3","2","4","Yes"
"36095","642","Xochimilco, INC","8/8/2016","Routine Inspection","128","0","0","0","5","Yes"
"36096","1062","Midnights Inn #422718","8/5/2016","Routine Inspection","128","0","0","1","0","Yes"
"36097","388","Pappy's Bar and Grill","8/5/2016","Routine Inspection","129","2","3","7","5","No"
"36098","4775","Chickpea in the D","8/8/2016","Routine Inspection","129","2","4","0","6","Yes"
"36099","3893","Northeast Intergrated Health","8/9/2016","Routine Inspection","87","1","0","1","1","Yes"
"36100","344","Sindbads Inc.","8/9/2016","Routine Inspection","87","2","1","2","3","Yes"
"36101","2266","Dish","8/8/2016","Routine Inspection","87","0","0","3","0","Yes"
"36104","4868","D C's Alabama Style Chicken Fish & Ribs","8/10/2016","Complaint","87","0","0","0","0","Yes"
