"inspectionid","inspectiondate","inspection_type","establishmentid","name","violation","violation_description","violation_type","item1","item2","item3","problem1","problem2","problem3","inspectarea","location1","location2","corrected","days_to_correct","date_corrected","correction_description","critical"
"60075","6/7/2022","Routine Inspection","2154","White Castle #19","6-501.12","(A) PHYSICAL FACILITIES shall be cleaned as often as necessary to keep them clean.
(B) Except spill cleanup, cleaning shall be done during periods when the least amount of FOOD is exposed such as after closing. ","Core",,,,,,,"",,,"False","30",,,"False"
"60075","6/7/2022","Routine Inspection","2154","White Castle #19","3-305.11","FOOD shall be protected from contamination by storing the FOOD:
(1)     In a clean, dry location;
(2)     Where it is not exposed to splash, dust, or other contamination; and
(3)     At least 15 cm (6 inches) above the floor, unless otherwise approved.
","Core",,,,,,,"",,,"True","30","6/7/2022",,"False"
"60075","6/7/2022","Routine Inspection","2154","White Castle #19","6-301.11","Each HANDWASHING SINK or group of 2 adjacent HANDWASHING SINKS shall be provided with a supply of hand cleaning liquid, powder, or bar soap. (Pf)
","Foundation",,,,,,,"",,,"True","10","6/7/2022",,"True"
"60074","6/7/2022","Routine Inspection","500","McShane's","6-501.12","(A) PHYSICAL FACILITIES shall be cleaned as often as necessary to keep them clean.
(B) Except spill cleanup, cleaning shall be done during periods when the least amount of FOOD is exposed such as after closing. ","Core",,,,,,,"",,,"False","30",,,"False"
"60074","6/7/2022","Routine Inspection","500","McShane's","6-501.12","(A) PHYSICAL FACILITIES shall be cleaned as often as necessary to keep them clean.
(B) Except spill cleanup, cleaning shall be done during periods when the least amount of FOOD is exposed such as after closing. ","Core",,,,,,,"",,,"False","30",,,"False"
"60072","5/26/2022","Routine Inspection","51623248","Everything Turkey","2-402.11","FOOD EMPLOYEES shall wear hair restraints such as hats, hair coverings or nets, beard restraints, and clothing that covers body hair, that are designed and worn to effectively keep their hair from contacting exposed FOOD; clean EQUIPMENT, UTENSILS, and LINENS; or unwrapped SINGLE-SERVICE or SINGLE-USE ARTICLES.","Core",,,,,,,"",,,"False","30",,,"False"
"60071","5/20/2022","Routine Inspection","51622682","Zo's Good Burger","2-402.11","FOOD EMPLOYEES shall wear hair restraints such as hats, hair coverings or nets, beard restraints, and clothing that covers body hair, that are designed and worn to effectively keep their hair from contacting exposed FOOD; clean EQUIPMENT, UTENSILS, and LINENS; or unwrapped SINGLE-SERVICE or SINGLE-USE ARTICLES.","Core",,,,,,,"",,,"False","30",,,"False"
"60071","5/20/2022","Routine Inspection","51622682","Zo's Good Burger","3-501.17","(A)  READY-TO-EAT, POTENTIALLY HAZARDOUS FOOD (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD)  prepared and held refrigerated for more than 24 hours in a FOOD ESTABLISHMENT  shall be clearly marked at the time of preparation to indicate the date or day by which the FOOD shall be consumed. (Pf)
(B)  A container of refrigerated, commercially prepared READY-TO-EAT POTENTIALLY HAZARDOUS FOOD (TIME/TEMPERATURE CONTROL FOR SAFETY FOOD)  shall be clearly marked, at the time the original container is opened in a FOOD ESTABLISHMENT, to indicate the date or day by which the FOOD shall be consumed. (Pf)

A date marking system that does not exceed 7 days, including date of preparation, or opening is to be used. (Pf)
","Foundation",,,,,,,"",,,"True","10","5/20/2022",,"True"
"60070","5/19/2022","Routine Inspection","4122","City Wings","4-602.13","NonFOOD-CONTACT SURFACES of EQUIPMENT shall be cleaned at a frequency necessary to preclude accumulation of soil residues.
","Core",,,,,,,"",,,"False","30",,,"False"
"60055","5/16/2022","Routine Inspection","1278","Onasis Coney Island ","6-303.11","Light of the proper intensity shall be provided as specified.
","Core","Lighting intensity",,,"Not maintained",,,"WALK-IN COOLER",,,"False","30",,,"False"
"60050","5/11/2022","Routine Inspection","51622728","Good Krispy Fish & Chicken","6-501.12","(A) PHYSICAL FACILITIES shall be cleaned as often as necessary to keep them clean.
(B) Except spill cleanup, cleaning shall be done during periods when the least amount of FOOD is exposed such as after closing. ","Core","Physical facilities/structures",,,"Not clean",,,"FACILITY",,,"False","30",,,"False"
"60050","5/11/2022","Routine Inspection","51622728","Good Krispy Fish & Chicken","4-602.13","NonFOOD-CONTACT SURFACES of EQUIPMENT shall be cleaned at a frequency necessary to preclude accumulation of soil residues.
","Core","Nonfood contact surface(s)",,,"Soiled",,,"COOKING AREA",,,"False","30",,,"False"
"60050","5/11/2022","Routine Inspection","51622728","Good Krispy Fish & Chicken","6-301.12","Each HANDWASHING SINK or group of adjacent HANDWASHING SINKS shall be provided with:
(A) Individual, disposable towels; (Pf)
(B) A continuous towel system that supplies the user with a clean towel;(Pf) or 
(C) A heated-air hand drying device.(Pf)
(D) A hand drying device that employs an air-knife system that delivers high velocity pressurized air at ambient temperatures.(Pf)
","Foundation","Sanitary hand drying provisions",,,"Not provided",,,"HANDSINK(S)","","","True","10","5/11/2022",,"True"
"60048","5/9/2022","Routine Inspection","3426","Manhattan Fish & Chicken","5-205.11","(A) A HANDWASHING SINK shall be maintained so that it is accessible at all times for EMPLOYEE use and used for no other purpose. (Pf)
(B)  An automatic handwashing facility shall be used in accordance with manufacturer's instructions. (Pf)
","Foundation","Handwashing sink(s)",,,"Soiled",,,"HANDSINK(S)",,,"True","10","5/9/2022",,"True"
"60048","5/9/2022","Routine Inspection","3426","Manhattan Fish & Chicken","6-501.12","(A) PHYSICAL FACILITIES shall be cleaned as often as necessary to keep them clean.
(B) Except spill cleanup, cleaning shall be done during periods when the least amount of FOOD is exposed such as after closing. ","Core","Physical facilities/structures",,,"Not clean",,,"KITCHEN",,,"False","30",,,"False"
"60047","5/9/2022","Routine Inspection","950","Kwong Village Chinese American","6-501.12","(A) PHYSICAL FACILITIES shall be cleaned as often as necessary to keep them clean.
(B) Except spill cleanup, cleaning shall be done during periods when the least amount of FOOD is exposed such as after closing. ","Core","Physical facilities/structures",,,"With accumulation of debris",,,"KITCHEN",,,"False","30",,,"False"
"60047","5/9/2022","Routine Inspection","950","Kwong Village Chinese American","3-302.11","(A) FOOD shall be protected from cross contamination by:  
(1) Except as specified in (1)(c) below, separating raw animal FOODS during         storage, preparation, holding, and display from:
(a) Raw READY-TO-EAT FOOD including other raw animal FOOD such as FISH for sushi or MOLLUSCAN SHELLFISH, or other raw READY-TO-EAT FOOD such as fruits and vegetables,(P) and
(b) Cooked READY-TO-EAT FOOD; (P)
(c) Frozen, commercially processed and packaged raw animal FOOD may be          stored or displayed with or above frozen, commercially processed and           packaged, ready-to-eat food.
(2) Except when combined as ingredients, separating types of raw animal FOODS    from each other such as beef, FISH, lamb, pork, and POULTRY during storage,        preparation, holding, and display by:
(a) Using separate EQUIPMENT for each type, (P) or
(b) Arranging each type of FOOD in EQUIPMENT so that cross contamination of one type with another is prevented, (P) and
(c) Preparing each type of FOOD at different times or in separate areas; (P)
","Priority","Raw animal food(s)",,,"Stored over/next to",,,"WALK-IN COOLER",,,"True","10","5/9/2022",,"True"
