"address","business_name","business_type","precinct","live_date","geom"
"15439 Schoolcraft St.","Citgo","Retail","2.0","1/1/2016 00:00:00-05","0101000020E6100000815A0C1EA6CC54C0EDB94C4D82314540"
"20000 Joy Rd","Mobil","Retail","6.0","1/1/2016 00:00:00-05","0101000020E61000006C5B94D920CF54C067B96C74CE2D4540"
"14820 E Jefferson Ave","Mobil","Retail","5.0","1/1/2016 00:00:00-05","0101000020E6100000F965304624BC54C062BB7B80EE2F4540"
"11603 E 7 Mile Rd","Sunoco","Retail","9.0","1/1/2016 00:00:00-05","0101000020E6100000363D282845C054C065A9F57EA3374540"
"10601 E Outer Dr","BP","Retail","9.0","1/1/2016 00:00:00-05","0101000020E6100000A59F70766BBD54C0EFAB72A1F2334540"
"2010 E Jefferson Ave","Mobil","Retail","7.0","1/1/2016 00:00:00-05","0101000020E6100000D5EB1681B1C154C0B401D880082B4540"
"8930 W McNichols Rd","Marathon","Retail","12.0","1/1/2016 00:00:00-05","0101000020E6100000BEA1F0D93ACA54C0BADA8AFD65354540"
"15510 Fenkell St","Mobil","Retail","8.0","1/1/2016 00:00:00-05","0101000020E610000033C34659BFCC54C08786C5A86B334540"
"14200 E Jefferson Ave","Perry's Liquor","Retail","5.0","3/3/2016 00:00:00-05","0101000020E61000003483F8C08EBC54C00DA9A278952F4540"
"16046 Puritan St","Puritan Liquor","Retail","8.0","3/3/2016 00:00:00-05","0101000020E61000004703780B24CD54C04643C6A354344540"
"19850 Fenkell St","BP","Retail","8.0","25/4/2016 00:00:00-04","0101000020E610000043CBBA7F2CCF54C0043A933655334540"
"21640 Grand River Ave","McDonald's","Retail","8.0","3/3/2016 00:00:00-05","0101000020E6100000F19D98F562D054C0E7374C3448354540"
"1781 S Fort St","Exxon","Retail","4.0","21/3/2016 00:00:00-04","0101000020E6100000570A815CE2C954C0944BE3175E234540"
"6003 W Vernor Hwy","McDonald's","Retail","4.0","21/3/2016 00:00:00-04","0101000020E610000040F67AF7C7C654C0FC34EECD6F284540"
"14383 Gratiot Ave","Mike's Fresh Market","Retail","9.0","12/4/2016 00:00:00-04","0101000020E6100000DBA50D87A5BE54C03E9468C9E3374540"
"11535 Morang Dr","Sunoco","Retail","9.0","12/4/2016 00:00:00-04","0101000020E61000003A7AFCDEA6BC54C0C4B5DAC35E364540"
"18403 Grand River Ave","McDonald's","Retail","8.0","18/4/2016 00:00:00-04","0101000020E6100000231631EC30CE54C0C97553CA6B334540"
"9800 Grand River Ave","Mobil","Retail","10.0","18/4/2016 00:00:00-04","0101000020E61000000569C6A2E9C854C0A2276552432F4540"
"975 Mack Ave","Exxon","Retail","7.0","25/4/2016 00:00:00-04","0101000020E61000003E05C07806C354C012A27C410B2D4540"
"14900 E Jefferson Ave","Marathon","Retail","5.0","27/4/2016 00:00:00-04","0101000020E61000006BD619DF17BC54C08E075BECF62F4540"
