"number","amount","description","status","supplier","city","state","start_date","end_date","contract_link"
"6004065","774664.15","DWSD Only for BPA 6004065 for Hydrant parts. ","Open","EJ USA INC","PITTSBURGH","PA","3/1/2022 00:00:00","2/1/2025 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004065.pdf"
"6004014","101663.23","** APPROVED BY CC on 7/20/21 **    2021-22 HS Rapid Rehousing for Central City Integrated Health. To provide case management/financial assistance to households experiencing homelessness or living in shelter. TOC 1/1/22 - 12/31/22.HRD# 5096","Open","CENTRAL CITY INTEGRATED HEALTH","Detroit","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004014.pdf"
"6004073","229481.41","**APPROVED BY CC 7.20.21 **    2021-2022 HS Southwest Counseling Solutions CAM contract. To provide coordinated Access - assess the needs of ppl presented for homeless srvcs, make referrals-homeless prgrms, & collect data on processes.. ","Open","SOUTHWEST COUNSELING SOLUTIONS","DETROIT","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004073.pdf"
"6004088","280213.23","** APPROVED BY CC on 7/20/21 **   2021 - 2022 HS Detroit Rescue Mission Ministries - Genesis II W. Chicago Emergency Shelter contract. To provide shelter services to those experiencing homelessness. T.O.C. 1/1/22-12/31/22. HRD #5077.","Open","DETROIT RESCUE MISSION MINISTRIES","Detroit","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004088.pdf"
"6004109","106663.23","**  APPROVED BY CC on 7/20/21 **   FY21-22 MCHS ES: To provide shelter services to those experiencing homelessness. T.O.C. 1/1/22 - 12/31/22. HRD #5075","Open","Methodist Children's Home Society","Redford","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004109.pdf"
"6004084","451663.23","*** APPROVED BY CC on 7/20/21**   FY 21-22 HS Prevention contract for United Community Housing Coalition. To provide legal svcs, case management & financial assistance to households at risk of homelessness. TOC 1/1/22 - 12/31/22.HRD# 5094.","Open","UNITED COMMUNITY HOUSING COALITION","DETROIT","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004084.pdf"
"6004116","151663.23","** APPROVED BY CC on 7/20/21**  FY 2021 - 2022 HS Street Outreach-Cass Community Social Services contract. To provide outreach & engagement services to those experiencing homelessness & living on the streets. TOC* 1/1/22-12/31/22. HRD #5103","Open","CASS COMMUNITY SOCIAL SERVICES INC","DETROIT","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004116.pdf"
"6004124","50000","DWSD ONLY - CPA  for Second source auto collision body repair services for DWSD owned (Ford, General Motors, Chrysler) vehicles for a period of two (2) years, NTE $50,000.","Open","BOB MAXEY LINCOLN-MERCURY SALES INC","DETROIT","MI","1/1/2022 00:00:00","31/12/2023 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004124.pdf"
"6004099","156163.23","** APPROVED BY CC on 7/20/21 **   FY21-22 Legal Aid and Defender will provide case management and financial assistance to households at risk of homelessness. T.O.C. 1/1/22 - 12/31/22. HRD #5090","Open","LEGAL AID AND DEFENDERS ASSOCIATION","DETROIT","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004099.pdf"
"6004108","168163.23","** APPROVED BY CC on 7/20/21 **   2021 - 2022 HS Detroit Rescue Mission Ministries - Third St. Emergency Shelter contract. To provide shelter services to those experiencing homelessness. T.O.C. 1/1/22 - 12/31/22. HRD# 5078","Open","DETROIT RESCUE MISSION MINISTRIES","Detroit","MI","1/1/2022 00:00:00","31/12/2022 00:00:00","https://detroitmi.gov/sites/detroitmi.localhost/files/contracts/6004/Agreement_6004108.pdf"
